"obs.plot.id","height.m","coord.x","coord.y"
1,11.0570001602173,404920,168415
1,8.0930004119873,404921,168415
1,2.65000009536743,404922,168415
1,3.58299994468689,404923,168415
1,8.59799957275391,404924,168415
1,8.39000034332275,404925,168415
1,5.19799995422363,404926,168415
1,0,404927,168415
1,13.8450002670288,404917,168414
1,16.6480007171631,404918,168414
1,15.7799997329712,404919,168414
1,11.9119997024536,404920,168414
1,7.4850001335144,404921,168414
1,1.96200001239777,404922,168414
1,4.11199998855591,404923,168414
1,8.18200016021729,404924,168414
1,7.82000017166138,404925,168414
1,4.49300003051758,404926,168414
1,0.384999990463257,404927,168414
1,0.025000000372529,404928,168414
1,0.0270000007003546,404929,168414
1,1.33299994468689,404930,168414
1,9.36999988555908,404915,168413
1,9.51200008392334,404916,168413
1,11.4350004196167,404917,168413
1,13.4429998397827,404918,168413
1,12.6569995880127,404919,168413
1,10.8800001144409,404920,168413
1,9.6569995880127,404921,168413
1,7.03200006484985,404922,168413
1,5.32000017166138,404923,168413
1,5.78700017929077,404924,168413
1,6.97499990463257,404925,168413
1,3.5550000667572,404926,168413
1,2.23699998855591,404927,168413
1,2.4449999332428,404928,168413
1,1.00999999046326,404929,168413
1,1.3400000333786,404930,168413
1,0.746999979019165,404931,168413
1,0,404932,168413
1,10.3529996871948,404913,168412
1,9.7819995880127,404914,168412
1,8.26000022888184,404915,168412
1,6.30700016021729,404916,168412
1,8.67000007629395,404917,168412
1,9.7819995880127,404918,168412
1,8.93000030517578,404919,168412
1,10.8850002288818,404920,168412
1,12.7349996566772,404921,168412
1,12.585000038147,404922,168412
1,10.4300003051758,404923,168412
1,6.82499980926514,404924,168412
1,4.15500020980835,404925,168412
1,1.84700000286102,404926,168412
1,3.38199996948242,404927,168412
1,5.63000011444092,404928,168412
1,4.33799982070923,404929,168412
1,3.32999992370605,404930,168412
1,0.681999981403351,404931,168412
1,0,404932,168412
1,0,404933,168412
1,0,404934,168412
1,11.7320003509521,404912,168411
1,9.4379997253418,404913,168411
1,5.44299983978271,404914,168411
1,4.98799991607666,404915,168411
1,4.96500015258789,404916,168411
1,4.82200002670288,404917,168411
1,2.60500001907349,404918,168411
1,7.01999998092651,404919,168411
1,12.5150003433228,404920,168411
1,15.3520002365112,404921,168411
1,15.0550003051758,404922,168411
1,12.5950002670288,404923,168411
1,7.88700008392334,404924,168411
1,2.30999994277954,404925,168411
1,5.40700006484985,404926,168411
1,9.32800006866455,404927,168411
1,9.86299991607666,404928,168411
